# charactristic, type, id, mat1, mat2, tmat, weight, delta
aa77a8f366926bdc13cc83bd53976dab,64,0,ae5f15cb,8d00e340,7b4af3fbfffffffe,71,0
c453b81a4aecddedb7fe08e37548af51,64,0,91e0123c,8cfc633f,8568b5f7ef3ffffa,69,1
a9a52a5897aa5f3639e212f91e4822dd,64,0,9263124c,8ce0e338,f0e77fff9fff7ffe,63,0
984e2631082fb5142d7a7eb19d0aad1b,64,0,8c7d118f,8c10e304,75503dbfff3f3ffe,61,0
8d210b7c2015d6d89013e15f8a3bc48d,64,0,54a50a94,8ad0e2b4,50a615fbffbefffe,57,0
cd5527202a65abbdbac397c65afc5f67,64,0,2f5e05eb,890c6243,9a423dffbdbdfffe,71,0
97b2353c37817a04207f655bcee830fb,64,0,2edf05db,8900e240,f29005e79fbeeffe,65,1
ecb2ad4610bc118bdbc319a3697451b7,64,0,e9991d33,873461cd,352fb6ffffbfffbe,63,1
a9ee8f86b4d3e144db057ab1883ae8fd,64,0,b2421648,85e8e17a,eca123ffffbefffe,67,1
cc773f11f2e4742fa17f53b009633b07,64,0,8afa115f,842c610b,97a705fbdf7f3ffe,67,0
e34ebe4b2f12de9bd6c602493a96cc57,64,0,4b3b0967,82246089,60776fffdfbfffbc,67,0
b2140c2958bf2c789232528b0904b2cb,64,0,4dbd09b7,8210e084,522ef4ebffbefffe,53,0
fc105c98e86717d647e0db4163a871f7,64,0,2c5c058b,811c6047,cc4b3ffbef7effbe,65,0
91031cd54bdf7d36c2a089dc24cc970d,64,0,12e2025c,80e8e03a,9440273f7ffffffe,61,0
b2fa20ac2352e0beea2971c30e5a61cd,64,0,ee011dc0,7ff0dffc,797befffffbfffbe,61,0
ba70d076c6dd1f3515130a5fc86754cd,64,0,e8071d00,7fc0dff0,6accfaebef7e7ffa,65,1
c83d72e8a210bc98017581cad63d0f97,64,0,b1de163b,7d0c5f43,2807faffbf7ffffe,59,0
e9748f5fc54e50e789ce2f605fa3a011,64,0,6a050d40,7bd45ef5,e5c229fffefefffe,65,0
bd0633a11cfc2faee72c6a295db8fc2d,64,0,4ca30994,7ae0deb8,0d7fceffffbeffbc,69,0
eaa60df43476640da3e0be24127cef67,64,0,56390ac7,7a345e8d,1ef035ffeebeffbc,65,0
87509fb6e930e6d62dfca43e797c62eb,64,0,55ba0ab7,7a28de8a,ad2fbbfdff3ffffe,71,0
8b35abce04dfa35ee83046d8f1337a5d,64,0,eb051d60,77d0ddf4,b4017bff7fbffffe,67,0
e5f46928565ffd54475e8501fb88d3d1,64,0,e9871d30,77c45df1,05d00d36fe3feffe,67,0
d7cde7ea38e2239c79e8780d35151361,64,0,cba51974,76d45db5,acafd7fffffffffe,65,1
88e72965f5e797b4c21ed79cbcec352b,64,0,d7391ae7,7630dd8c,5c1fc337df7fdfbc,71,0
a39f1b4c7df6d14a66ea3fd07b7d4e9b,64,0,b35d166b,7510dd44,bc0bf7ffeffffffe,75,0
faaa8bfb912a3419d6785c09a2b66e71,64,0,8ee011dc,74fc5d3f,3be3df77ffbefffe,65,0
c606abdb3bc144211c9016d1fa249d61,64,0,8be5117c,74d45d35,343ffbf76ff7fffe,57,1
ff67576841cb5188f7320105bf5b27a7,64,0,93fd127f,74145d05,9b4e03dfffbefffe,67,0
b8804aecef64f44d24815f6dd6277fdb,64,0,719f0e33,7300dcc0,50026cfbfffffffe,69,0
c170480ce1e074baeeaf76a76ffb3581,64,0,2f4105e8,71f45c7d,5f7d3bbffffdfffe,67,0
af5458e5cd9ec28b4a9dfdf94924f77b,64,0,10fe021f,7008dc02,bf6f2bf1fefdfffe,73,0
ee10d273eebe56ea750d215ad6944691,64,0,eb861d70,6fcc5bf3,7153ccbddfbefffa,65,1
ae812c209a30c3b454811f442a37b60d,64,0,ad4015a8,6df8db7e,7ced0677fffeffbc,53,1
f9211275b2ba8817104dcb4965f3a547,64,0,b7da16fb,6d2c5b4b,d24bbefffdffdfbc,61,0
9f8ff2467b4bc1ad4b453b8b851152bd,64,0,8e6311cc,6ce0db38,e5d9c5b7ff7e7ffa,67,0
c82fcc1353c18a0e0f89ef86cad541f7,64,0,94f9129f,6c345b0d,4f3bd83f3dfffffa,63,0
a5d95e518e8708d58195f59ca1d5cc7b,64,0,977a12ef,6c28db0a,c7cc2c7fff7f7ffe,65,0
dbba6d6924dc5082b2d8f4a7a1b245b7,64,0,503d0a07,6a145a85,5803857ffffffffe,65,0
8e0f1ba95b111862ccda3d1fdc52169d,64,0,ee021dc0,67e8d9fa,e2dd7df3ff3fffbc,63,1
eaff16d1e6deece94ffbb82098e66b27,64,0,533f0a67,62045881,37303effffbeffbc,75,0
f696a4a6ae6df975ffafb8eba063f287,64,0,355906ab,6134584d,a82997fdfffffffe,77,1
a4fb46605606d7479a2931eaf24aa81b,64,0,32de065b,6108d842,f82016ffeffffffe,61,0
dbc3753335e01494a81687c658577d21,64,0,ef841df0,5fdc57f7,602235f77fbfeffe,61,0
87deeb1877237c6d3292f194b0157f6b,64,0,f2191e43,5f30d7cc,04915fffffffdfbc,69,0
b8a049932cf038bfd2542a08a558c30d,64,0,cb201964,5ef8d7be,5da036ff5d7efffe,55,0
aab98709deeb6be89d02d59027b6027b,64,0,b75c16eb,5d18d746,7470beffbfbf7ffe,65,0
f831b7c0587eade1f3d8141659fb3391,64,0,8de611bc,5ccc5733,4cb7eb7d6fbfeffe,67,0
af91899570f4e642b714c01b163f20db,64,0,977c12ef,5c18d706,5cf6d4ffeffdfffe,61,1
8d0af689e6923ed71581fff5d27ec02b,64,0,709b0e13,5b20d6c8,8405bd7bef3fffbe,69,0
eba416ba2f63776d4e890f37329c37d1,64,0,49220924,5aec56bb,bc5a7dffefbefffe,69,1
9cc1bab8e5b1596a70f991291d4f4e2b,64,0,30db061b,5920d648,cc5b7cfbbfff7ffe,65,0
db6d02e2686742dd41ada709e241dc77,64,0,f2981e53,573c55cf,8cd15777efbffffe,63,0
aced7cefdc4b84e174817190e1f6cefb,64,0,b65c16cb,5518d546,2971a7ffafff7ffe,71,0
fd521c82d5189e393b2969d5fe00db11,64,0,8de711bc,54c45531,7e5f23fffcbffffe,63,0
f01530cbe0760423e5594f4525d0a7c7,64,0,96fc12df,541c5507,4d5b6b73fffeffbc,59,1
f322606f6fb0d8f2c42b9686446b83c7,64,0,97fd12ff,54145505,931eafe73fbdfffe,63,0
e59fcf89b6b28fd4536c982c1e85a527,64,0,73190e63,533454cd,a82ad733fffeffbc,67,0
bc4f8d31249082bce8a2b372eb2aeebb,64,0,73990e73,5330d4cc,ed3a46f3fffdfffe,65,0
89bc290e3c5a0c30c36c608b169669dd,64,0,cd2419a4,4ed8d3b6,3f5e65f9dffffffe,57,0
e77debe86eda523a6c02a3521c2dc051,64,0,cfa619f4,4ecc53b3,ef772f7fefbefffa,63,1
af66e561ffdb38efb2b4e6d026b305cd,64,0,8f6611ec,4cc8d332,94c79f376dfffffe,73,0
b7ab366a9c712902daf11729c6367bfb,64,0,71980e33,4b38d2ce,cd7d7d7fefffffbc,69,1
d96af48ccef17708759fd4f0cc8dd277,64,0,731a0e63,4b2c52cb,9820def7fdffffbe,71,0
8e2f18d69885d4903a0f487aaf2daa4b,64,0,54bd0a97,4a10d284,381a2ef7df3effbe,61,0
978b763200d7a49dab1115bd8a457a3d,64,0,2fc605f8,49c8d272,121036797f7ffffe,63,0
8ac0dc7490e56e9300f9d100e15f87fd,64,0,ec041d80,47d8d1f6,7870317f7efffffe,61,0
d6dd425fd226066a9a7da752091d85b7,64,0,f1991e33,473451cd,8017afefcf7f3ffe,65,0
b073a26c1bd74fd0c1755790e9ff724d,64,0,c8201904,46f8d1be,d049fffeffbdfffe,69,1
8a250e7bee1b86a80ba59987cd3bec8b,64,0,d1391a27,4630d18c,cdc7c57bfffffffe,65,0
9381609f7649f6a59abbc440e8533cfd,64,0,aa421548,45e8d17a,c3deeff7febffffe,65,0
a26a6cf6e9cc1c878e23a8086b11b33b,64,0,b45c168b,4518d146,30cc8ffdffbffffe,61,0
dc095fce439744d0bd6ea9336b763af7,64,0,731b0e63,432450c9,afa02fefffbefffe,71,0
d4667d1bd8e6536049089a28812f6481,64,0,48200904,42fc50bf,60bed77f7fbffffe,55,0
ff1e4f3250f7159eedfc726446be1f31,64,0,2c440588,41dc5077,b86a8df7bfbeeffe,73,0
94125147d2962e0563d8ecb151e8ff6b,64,0,33db067b,4120d048,a2526ffddffffffe,63,0
9c7d739249e739b597bedfaabbb1a11d,64,0,08e0011c,40f8d03e,78fbae7ffffdfffe,75,1
fccccd99a1cf2174c7d2e3200b615047,64,0,1078020f,403c500f,27f8353fff3fffbe,61,0
f4d6f7d17c7007cce9dde5b961e3e6c1,64,0,e3841c70,3fdc4ff7,ceac1cf5fffdfffe,73,1
bccdf958ed716d19376ba03b5b7d235d,64,0,a3441468,3dd8cf76,580f5f7fffbffffe,73,1
8bdc79062dd33e7b23cb48bca469c14d,64,0,a1461428,3dc8cf72,b525037beffeffbe,65,0
a947061abbb5e6ee815e7752602821bd,64,0,46a108d4,3af0cebc,1c9f9eefdfffeffe,63,0
a4002a538edb7cf45f2e51c2bbf85d6b,64,0,5dba0bb7,3a28ce8a,5922b9f7fbfeeffe,67,0
f55a9831f9768e171bda0100886a23f7,64,0,5b3c0b67,3a1c4e87,f816dffdff7fffbc,61,0
8c4f48de890ce6dbdaa8604d1dd202db,64,0,38df071b,3900ce40,2dad64b7ff7efffe,61,0
a3d8be55097d1a2644aa117b943154dd,64,0,e4021c80,37e8cdfa,725dedefff7e7ffa,61,0
80cfaea91a1d4b681438ca2cb9f9711b,64,0,bb5d176b,3510cd44,f08b00fffebe7ffa,61,0
b8c7eff59bef3f2106c171c6396b659d,64,0,26c004d8,31f8cc7e,c0ae40f3ffbffffe,73,0
de690fc6521e769b5dc98104d9899267,64,0,1f7903ef,30344c0d,ad144d7fff7f7ffe,63,0
f2db1712ac786021ec4547bd2d39ae01,64,0,e7821cf0,2fec4bfb,9b83fe7fffbffffe,61,0
ff9c3b5b9916fa3b3235612df6e9d2d7,64,0,fc991f93,2f344bcd,1357c0bfbfbeeffe,75,0
c88dbb0559b4a959269589aa09fd30c7,64,0,fe9b1fd3,2f244bc9,7422ecb7fffffffe,61,0
d21e85454e20058596f90dae4d2ec4b1,64,0,84e1109c,2cf44b3d,ec431ff7ff7e7ffa,57,0
eb7f79f6342a102c7d5b1a7a08517e77,64,0,9cf9139f,2c344b0d,9d02277ffffffffe,69,0
c2bc749bb6fb03d80adacf4c47f2e4f1,64,0,41240824,2adc4ab7,57f01fefff7e7ffa,69,0
eaf31616b12c99f78f5cfec3e1d8bb41,64,0,24410488,29f44a7d,f9c1b7f7ffbefffe,71,0
e92194bd4014ad1da5726f87ac07f437,64,0,187d030f,28144a05,892a2d7fefffffbe,63,0
f7b8bc50211e53f924b43a7e8ac24681,64,0,e7831cf0,27e449f9,a40d9033a9fefffa,61,0
9709025bc9364b3874d806f43a12b7db,64,0,ff1b1fe3,2720c9c8,386f3ebfdfbffffe,61,0
c653b039be9bb9db302c56360980c947,64,0,f99d1f33,271449c5,701dbefefffeffbc,61,0
9f83f2812cb9b4b38be27d68fc2f82db,64,0,f91d1f23,2710c9c4,acd4bae7fffffffe,69,0
9f66208e52475c8880be35efd04be9ad,64,0,c4201884,26f8c9be,697ebffffbffeffe,63,0
b41e12a7da561a76244adda317da921d,64,0,a0441408,25d8c976,12727b039f77fffe,63,0
d798fc08bdb8de66555438eac6b14747,64,0,b9dd173b,25144945,95b277bffffffffe,67,0
8e48beb02f9ad30eee9a13b4331e0cdb,64,0,b95d172b,2510c944,8069dffddffeffbe,65,1
d77d2e07c346365d5e08706dead52c31,64,0,84e0109c,24fc493f,d93735f5fffdfffe,65,1
ed2b8210368aff2594d8be7ace11b2f7,64,0,9df913bf,2434490d,f4f6c627ffbefffe,67,0
9d38cdc52679e1b958974012741d63ed,64,0,40a40814,22d8c8b6,3db01ffbffbefffe,63,0
fd8973cece51f97808fb7c98c4cd92b7,64,0,583c0b07,221c4887,b9a005f1eefffffe,71,0
81b4adbd10341c1ee39f085e60fc913b,64,0,1bff037f,2000c800,1057fe7fedffffbc,61,0
90a88e075fac69fc7592352cec3e86fb,64,0,f91a1f23,1f28c7ca,f1dd1b7feffffffe,67,0
fb41427da333ba5cf0eae37ed70c0dd7,64,0,dbb81b77,1e3c478f,6b5d7df76ffdeffa,71,0
ef47d2df70f1b870b4d8d0ae05d0ca01,64,0,86e510dc,1cd44735,81f02af5bfbf3ffe,63,0
b35a4cf43232d0892e5ca6fced92c84b,64,0,9b78136f,1c38c70e,b177e3bddfbffffe,63,0
d6262e6c0afbadd95f7ac77a40af70c7,64,0,9efd13df,1c144705,068d993fef7ffffe,71,0
9fb14f051efc4ed773cb664193b8706d,64,0,66850cd0,1bd0c6f4,dcd186ebebfefffa,69,0
f458837fe2639d77f6b3b013a88afb41,64,0,44270884,1ac446b1,b4bdbffdfefffffe,69,1
f2a20f48bd442437f68b34dcd4dc9697,64,0,583b0b07,1a244689,80a94efefffffffe,65,0
8b520da8b3c0a4c03ca51d166d00dccd,64,0,06e500dc,18d0c634,926015fb9dbfeffe,55,1
8e9fd13b6321c1511def401a70ed951b,64,0,1bf8037f,1838c60e,35ae6eefdfffeffe,63,1
fc99d67b2495dc8eeb6ea3c7f8c50461,64,0,62000c40,13fc44ff,5478a87efbfeeffe,69,0
a3b318f4e99068a650980c56713c222b,64,0,7e9c0fd3,1318c4c6,910cefb7fffdfffe,55,0
94474aa557ccd3ff4f64ac56a24cab4d,64,0,41a30834,12e0c4b8,dbcb3fbbff7fffbe,67,0
8de32441cf9ea3f2de7af19187247b3b,64,0,3ad8075b,1138c44e,219627ffffbefffe,69,0
8ed474e540587f23ff082852e69f5f3b,64,0,3bd9077b,1130c44c,39c77e7efffeffbc,67,0
dc5c442cc6cdb92a91d2e9d498d26ed1,64,0,0163002c,10e44439,96c240fffdffdfbc,63,1
fda970b10dc5358afe2e09fdb7b22e61,64,0,e2831c50,0fe443f9,b8e6c0eb3dfdbffa,69,0
dd8930e99163b8158fce0b69fbc12fa7,64,0,bcdd179b,0d144345,442addffdf7ffffe,67,0
d92d5195ba7abc6457dffa5b23c1c831,64,0,24450488,09d44275,171f1ff7fffeffbc,69,0
b2214fe0381b87ffd9fb648e3497286b,64,0,3bda077b,0928c24a,60a5f6f3ffffffbe,67,0
8dba3f641d362b163261f7950dbeff7b,64,0,3fde07fb,0908c242,61a03dffedbffffe,73,0
ba4e6d35a36a904f2d9d5795dece761d,64,0,00e1001c,08f0c23c,d07e5e7ffffdeffa,71,0
d48fafd3f1eace4582f3944cd475df91,64,0,0263004c,08e44239,15400efffdfffffe,71,0
960b1915d223585899b1b7e71af26f6d,64,0,e0001c00,07f8c1fe,1347af6afffdfffe,65,1
a975bb9e89f01c8a79776c7b0fbfd30b,64,0,d9391b27,0630c18c,9c74bf33f7ffdffa,73,0
effb1bf5dca7d8af539f9e2da32e2537,64,0,bede17db,050c4143,d8102f6feffffffe,79,1
a8f9d47e0cf695518b7088c2e636163d,64,0,61810c30,03f0c0fc,b8073dfbdfffeffe,63,0
cd6064e94ac1003af10aa1c3676fc5c7,64,0,59390b27,0234408d,6d8897f3efffdffa,59,0
fa71e4b78a635358e5aa4944987b27d7,64,0,5b3b0b67,02244089,607e9ffffffffffe,67,1
e5cad46b33e8722e7fd0d8cbed21f101,64,0,0161002c,00f4403d,f826c7ffffbefffe,67,0
883c4629eeaef0f5f1ccc2d186217c8d,64,0,02e2005c,00e8c03a,accbf6ffffffffbc,63,1
8ec6ca1eb18949b5f1f4461efa77115b,64,0,1efe03df,0008c002,6cc8053fbfbf3ffe,67,0
cb4c40260378df06886dc6e7dcbbfe8f,64,0,c49b1893,ff243fc9,35dc2ff7effffffe,67,0
f432e2ad58ab9bd468ab1d7bc9f642e9,64,0,fda21fb4,feec3fbb,feef83fbefbfffbe,69,0
e85b50da10188e48d8ff1db0f173db49,64,0,9bc41378,fddc3f77,d80cd6f76ff7fffe,63,0
